,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
126,Kurt Rambis,PF,25,LAL,21,0.0,20.4,2.9,4.4,0.652,0.0,0.0,0.0,2.9,4.4,0.652,0.652,1.0,1.6,0.636,1.6,4.2,5.8,0.7,0.5,0.5,1.0,2.7,6.7
127,Kelvin Ransey,PG,25,NJN,5,0.0,8.8,1.2,2.8,0.429,0.2,0.2,1.0,1.0,2.6,0.385,0.464,0.0,0.0,0.0,0.0,0.2,0.2,2.0,0.0,0.2,1.0,1.2,2.6
128,Leo Rautins,SF,23,PHI,3,0.0,1.7,0.3,1.0,0.333,0.3,0.7,0.5,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.7,0.0,0.7,0.3,0.3,0.0,0.0,0.7,1.0
129,Clint Richardson,SG,27,PHI,5,0.0,23.0,2.6,4.6,0.565,0.0,0.0,0.0,2.6,4.6,0.565,0.565,2.2,2.4,0.917,0.8,2.4,3.2,2.0,0.6,0.2,0.8,3.4,7.4
130,Micheal Ray Richardson,PG,28,NJN,11,0.0,40.3,6.3,15.4,0.408,0.5,2.0,0.273,5.7,13.4,0.429,0.426,3.7,5.1,0.732,1.8,3.1,4.9,7.2,3.1,0.4,2.7,3.6,16.8
131,Doc Rivers,PG,22,ATL,5,0.0,26.0,3.2,6.4,0.5,0.0,0.6,0.0,3.2,5.8,0.552,0.5,7.2,8.2,0.878,1.4,0.6,2.0,3.2,2.4,0.8,1.8,3.2,13.6
132,Rick Robey,C,28,PHO,10,0.0,4.3,0.7,1.6,0.438,0.0,0.1,0.0,0.7,1.5,0.467,0.438,0.4,0.8,0.5,0.7,0.3,1.0,0.2,0.2,0.0,0.4,0.5,1.8
133,Truck Robinson,PF,32,NYK,12,0.0,30.2,3.2,6.2,0.514,0.0,0.0,0.0,3.2,6.2,0.514,0.514,0.8,1.3,0.6,2.6,5.5,8.1,0.6,0.6,0.8,2.3,3.4,7.1
134,Dave Robisch,C,34,KCK,3,0.0,17.0,1.3,4.0,0.333,0.0,0.0,0.0,1.3,4.0,0.333,0.333,0.3,0.7,0.5,2.0,3.0,5.0,0.7,0.3,0.0,1.7,2.0,3.0
135,Tree Rollins,C,28,ATL,5,0.0,30.4,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,1.0,1.6,0.625,2.0,4.8,6.8,0.2,0.4,2.0,2.2,4.6,5.0
136,Lorenzo Romar,PG,25,MIL,13,0.0,5.2,0.7,1.5,0.45,0.0,0.2,0.0,0.7,1.3,0.529,0.45,0.5,0.8,0.636,0.0,0.2,0.2,1.2,0.0,0.0,0.4,0.7,1.9
137,Dan Roundfield,PF,30,ATL,5,0.0,38.2,6.0,13.8,0.435,0.2,0.2,1.0,5.8,13.6,0.426,0.442,5.0,7.0,0.714,2.4,6.4,8.8,1.6,0.4,1.4,3.8,3.2,17.2
138,Jeff Ruland,C,25,WSB,4,0.0,46.8,9.3,17.8,0.521,0.0,0.3,0.0,9.3,17.5,0.529,0.521,5.5,6.8,0.815,4.0,8.8,12.8,7.8,0.5,0.8,4.8,3.8,24.0
139,Mike Sanders,SF,23,PHO,15,0.0,10.1,1.5,3.1,0.478,0.0,0.0,0.0,1.5,3.1,0.478,0.478,1.1,1.1,0.941,0.7,0.7,1.3,0.5,0.4,0.3,0.9,2.1,4.0
140,Danny Schayes,C,24,DEN,5,0.0,16.2,2.2,3.6,0.611,0.0,0.0,0.0,2.2,3.6,0.611,0.611,1.2,1.6,0.75,0.6,4.2,4.8,0.8,0.8,0.6,1.4,4.0,5.6
141,Alvin Scott,SF,28,PHO,16,0.0,6.9,0.6,1.6,0.385,0.1,0.1,1.0,0.6,1.6,0.36,0.404,0.3,0.4,0.667,0.6,0.9,1.5,0.4,0.1,0.1,0.4,0.9,1.6
142,Byron Scott,SG,22,LAL,20,0.0,20.2,3.7,8.1,0.46,0.1,0.5,0.2,3.6,7.6,0.477,0.466,1.1,1.8,0.6,0.6,1.3,1.9,1.7,0.9,0.1,1.3,2.0,8.6
143,Jack Sikma*,C,28,SEA,5,0.0,38.6,9.8,19.6,0.5,0.0,0.2,0.0,9.8,19.4,0.505,0.5,2.4,2.8,0.857,2.2,8.0,10.2,1.0,0.6,1.4,1.8,4.4,22.0
144,Ricky Sobers,SG,31,WSB,4,0.0,37.5,6.3,14.3,0.439,0.8,2.5,0.3,5.5,11.8,0.468,0.465,2.0,2.5,0.8,0.5,0.8,1.3,4.0,1.3,0.5,2.3,4.8,15.3
145,Rory Sparrow,PG,25,NYK,12,0.0,32.4,4.5,10.1,0.446,0.2,0.5,0.333,4.3,9.6,0.452,0.455,2.0,2.5,0.8,0.8,1.3,2.2,7.2,1.0,0.1,2.5,3.4,11.2
146,Larry Spriggs,SF,24,LAL,9,0.0,5.0,0.8,2.1,0.368,0.0,0.0,0.0,0.8,2.1,0.368,0.368,1.2,1.2,1.0,0.4,0.6,1.0,0.3,0.0,0.1,0.8,1.2,2.8
147,Jon Sundvold,PG,22,SEA,3,0.0,7.3,1.0,2.7,0.375,0.0,1.0,0.0,1.0,1.7,0.6,0.375,0.7,0.7,1.0,0.3,0.3,0.7,1.7,0.0,0.0,0.3,0.3,2.7
148,Reggie Theus,PG,26,KCK,3,0.0,27.0,5.7,14.3,0.395,0.0,1.0,0.0,5.7,13.3,0.425,0.395,3.0,3.3,0.9,1.3,2.3,3.7,5.3,1.7,0.0,3.0,3.0,14.3
149,Isiah Thomas*,PG,22,DET,5,0.0,39.6,7.8,16.6,0.47,0.4,1.2,0.333,7.4,15.4,0.481,0.482,5.4,7.0,0.771,1.4,2.4,3.8,11.0,2.6,1.2,4.6,4.4,21.4
150,LaSalle Thompson,C,22,KCK,3,0.0,31.0,6.0,13.3,0.45,0.0,0.0,0.0,6.0,13.3,0.45,0.45,3.0,3.7,0.818,3.7,6.3,10.0,1.3,1.0,1.3,1.7,4.7,15.0
151,Mychal Thompson,C,29,POR,4,0.0,30.3,5.5,11.0,0.5,0.0,0.0,0.0,5.5,11.0,0.5,0.5,4.3,5.5,0.773,2.3,5.0,7.3,3.8,1.3,0.8,1.5,2.8,15.3
